Date,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
2016/3/3,164,-8,-5,1027,39.33,0,0
2016/3/4,170,-8,-5,1027,42.46,0,0
2016/3/7,149,-8,-5,1028,44.25,0,0
2016/3/8,154,-7,-5,1028,46.04,0,0
2016/3/9,164,-7,-5,1027,49.17,1,0
2016/3/10,156,-8,-6,1028,52.3,2,0
2016/3/11,126,-8,-6,1027,55.43,3,0
2016/3/14,90,-7,-6,1027,58.56,4,0
2016/3/15,63,-8,-6,1026,61.69,5,0
2016/3/16,65,-8,-7,1026,65.71,6,0
2016/3/17,55,-8,-7,1025,68.84,7,0
2016/3/18,65,-8,-7,1024,72.86,8,0
2016/3/21,83,-9,-8,1024,76.88,9,0
2016/3/22,91,-10,-8,1024,80.9,10,0
2016/3/23,86,-10,-9,1024,84.92,11,0
2016/3/24,82,-10,-9,1024,89.84,12,0
2016/3/28,86,-11,-9,1023,93.86,13,0
2016/3/29,78,-11,-9,1023,97.88,15,0
2016/3/30,98,-11,-9,1022,102.8,16,0
2016/3/31,107,-11,-9,1021,105.93,17,0
2016/4/1,90,-11,-9,1020,111.74,19,0
2016/4/4,96,-11,-9,1020,116.66,20,0
2016/4/5,95,-11,-9,1020,121.58,21,0
2016/4/6,86,-11,-9,1020,124.71,22,0
2016/4/7,70,-11,-9,1020,127.84,23,0
2016/4/8,61,-11,-9,1021,0.89,24,0
2016/4/11,53,-11,-9,1022,1.78,25,0
2016/4/12,71,-10,-9,1022,4.02,26,0
2016/4/13,72,-11,-10,1023,7.15,27,0
2016/4/14,76,-11,-9,1023,11.17,0,0
2016/4/15,73,-12,-11,1023,14.3,0,0
2016/4/18,79,-14,-12,1023,16.09,0,0
2016/4/19,58,-16,-9,1023,21.9,0,0
2016/4/20,25,-17,-10,1024,29.95,0,0
2016/4/21,26,-18,-11,1024,39.78,0,0
2016/4/22,28,-19,-11,1025,48.72,0,0
2016/4/25,26,-20,-12,1026,55.87,0,0
2016/4/26,20,-21,-12,1027,64.81,0,0
2016/4/27,29,-21,-13,1027,73.75,0,0
2016/4/28,26,-22,-13,1028,80.9,0,0
2016/4/29,27,-22,-13,1029,90.73,0,0
2016/5/2,27,-22,-12,1030,100.56,0,0
2016/5/3,25,-23,-12,1031,108.61,0,0
2016/5/4,29,-21,-11,1030,117.55,0,0
2016/5/5,32,-20,-10,1030,127.38,0,0
2016/5/6,28,-21,-10,1030,136.32,0,0
2016/5/9,29,-21,-9,1030,145.26,0,0
2016/5/10,30,-21,-9,1031,152.41,0,0
2016/5/11,30,-20,-11,1032,159.56,0,0
2016/5/12,28,-23,-11,1032,165.37,0,0
2016/5/13,26,-21,-12,1033,171.18,0,0
2016/5/16,31,-24,-12,1034,180.12,0,0
2016/5/17,33,-24,-13,1034,187.27,0,0
2016/5/18,29,-24,-13,1035,195.32,0,0
2016/5/19,31,-26,-15,1035,198.45,0,0
2016/5/20,30,-26,-17,1035,201.58,0,0
2016/5/23,34,-26,-18,1035,205.6,0,0
2016/5/24,27,-26,-19,1035,208.73,0,0
2016/5/25,25,-27,-18,1035,213.65,0,0
2016/5/26,28,-27,-19,1035,218.57,0,0
2016/5/27,28,-27,-16,1034,4.92,0,0
2016/5/31,27,-26,-16,1035,8.05,0,0
2016/6/1,27,-27,-16,1034,13.86,0,0
2016/6/2,27,-26,-16,1035,18.78,0,0
2016/6/3,29,-26,-15,1035,24.59,0,0
2016/6/6,36,-25,-14,1035,29.51,0,0
2016/6/7,30,-25,-13,1035,34.43,0,0
2016/6/8,27,-25,-12,1034,39.35,0,0
2016/6/9,39,-24,-11,1032,41.14,0,0
2016/6/10,41,-22,-11,1032,0.89,0,0
2016/6/13,33,-23,-11,1031,1.79,0,0
2016/6/14,50,-24,-11,1031,3.58,0,0
2016/6/15,56,-23,-11,1031,5.37,0,0
2016/6/16,59,-23,-11,1032,7.16,0,0
2016/6/17,60,-22,-13,1033,10.29,0,0
2016/6/20,84,-22,-12,1033,13.42,0,0
2016/6/21,106,-24,-18,1033,16.55,0,0
2016/6/22,66,-22,-13,1034,20.57,0,0
2016/6/23,50,-22,-16,1033,23.7,0,0
2016/6/24,56,-25,-17,1033,26.83,0,0
2016/6/27,77,-25,-14,1033,4.02,0,0
2016/6/28,50,-26,-14,1034,8.04,0,0
2016/6/30,44,-26,-14,1033,13.85,0,0
2016/7/1,27,-26,-14,1033,17.87,0,0
2016/7/5,28,-26,-14,1033,23.68,0,0
2016/7/6,21,-26,-14,1033,28.6,0,0
2016/7/7,25,-26,-15,1034,33.52,0,0
2016/7/8,20,-26,-14,1034,39.33,0,0
2016/7/11,29,-25,-13,1035,44.25,0,0
2016/7/12,34,-25,-12,1035,50.06,0,0
2016/7/13,42,-24,-11,1035,54.98,0,0
2016/7/14,28,-24,-10,1034,59,0,0
2016/7/15,36,-22,-10,1033,4.02,0,0
2016/7/18,48,-22,-9,1033,5.81,0,0
2016/7/19,49,-22,-8,1033,0.89,0,0
2016/7/20,52,-22,-8,1033,1.79,0,0
2016/7/21,56,-21,-9,1033,3.58,0,0
2016/7/22,96,-22,-9,1033,5.37,0,0
2016/7/25,75,-22,-14,1034,0.89,0,0
2016/7/26,105,-22,-12,1035,1.79,0,0
2016/7/27,132,-21,-14,1034,3.58,0,0
2016/7/28,93,-22,-16,1035,5.37,0,0
2016/7/29,131,-21,-16,1035,7.16,0,0
2016/8/1,127,-21,-16,1035,8.95,0,0
2016/8/2,130,-21,-16,1035,0.45,0,0
2016/8/3,43,-22,-18,1036,1.34,0,0
2016/8/4,37,-23,-15,1036,4.02,0,0
2016/8/5,30,-24,-16,1035,7.15,0,0
2016/8/8,28,-25,-15,1035,10.28,0,0
2016/8/9,24,-24,-15,1035,14.3,0,0
2016/8/10,23,-25,-13,1036,4.92,0,0
2016/8/11,24,-24,-14,1036,4.02,0,0
2016/8/12,27,-23,-12,1036,8.94,0,0
2016/8/15,40,-22,-11,1036,12.96,0,0
2016/8/16,42,-20,-10,1036,16.09,0,0
2016/8/17,42,-21,-9,1035,19.22,0,0
2016/8/18,55,-21,-8,1034,21.01,0,0
2016/8/19,52,-20,-7,1033,22.8,0,0
2016/8/22,51,-20,-7,1032,24.59,0,0
2016/8/23,57,-18,-8,1032,26.38,0,0
2016/8/24,50,-19,-9,1032,28.17,0,0
2016/8/25,54,-19,-11,1032,0.89,0,0
2016/8/26,67,-18,-11,1033,1.79,0,0
2016/8/29,106,-19,-15,1032,1.79,0,0
2016/8/30,159,-19,-14,1032,0.45,0,0
2016/8/31,198,-21,-14,1032,1.34,0,0
2016/9/1,190,-21,-16,1032,2.23,0,0
2016/9/2,210,-21,-17,1031,1.79,0,0
2016/9/6,195,-19,-16,1031,3.58,0,0
2016/9/7,275,-20,-16,1031,0.89,0,0
2016/9/8,164,-19,-15,1030,0.89,0,0
2016/9/9,110,-18,-15,1030,0.45,0,0
2016/9/12,100,-18,-15,1029,1.34,0,0
2016/9/13,81,-18,-15,1029,1.79,0,0
2016/9/14,71,-16,-13,1029,0.89,0,0
2016/9/15,66,-16,-12,1029,0.89,0,0
2016/9/16,92,-16,-12,1030,1.78,0,0
2016/9/19,135,-17,-10,1030,0.89,0,0
2016/9/20,155,-16,-10,1029,0.89,0,0
2016/9/21,198,-16,-9,1028,3.13,0,0
2016/9/22,250,-15,-8,1026,4.92,0,0
2016/9/23,200,-16,-8,1026,0.89,0,0
2016/9/26,231,-16,-8,1025,1.78,0,0
2016/9/27,250,-16,-8,1025,2.67,0,0
2016/9/28,212,-17,-8,1025,0.89,0,0
2016/9/29,219,-17,-9,1026,0.45,0,0
2016/9/30,227,-17,-11,1026,1.34,0,0
2016/10/3,226,-17,-12,1026,1.79,0,0
2016/10/4,225,-18,-14,1027,1.79,0,0
2016/10/5,168,-16,-9,1027,4.92,0,0
2016/10/6,169,-16,-11,1027,6.71,0,0
2016/10/7,165,-17,-13,1027,0.89,0,0
2016/10/8,159,-17,-13,1027,3.13,0,0
2016/10/9,167,-17,-14,1027,4.92,0,0
2016/10/10,196,-17,-15,1027,8.05,0,0
2016/10/11,169,-17,-13,1027,9.84,0,0
2016/10/12,155,-19,-16,1027,13.86,0,0
2016/10/13,119,-18,-15,1027,17.88,0,0
2016/10/14,106,-19,-15,1027,21.9,0,0
2016/10/15,93,-18,-14,1028,25.92,0,0
2016/10/16,84,-18,-9,1029,5.81,0,0
2016/10/17,73,-17,-7,1029,11.62,0,0
2016/10/18,66,-17,-6,1030,17.43,0,0
2016/10/19,40,-16,-6,1029,23.24,0,0
2016/10/20,49,-16,-5,1029,28.16,0,0
2016/10/21,50,-15,-4,1029,33.08,0,0
2016/10/22,49,-14,-4,1028,37.1,0,0
2016/10/23,41,-15,-4,1029,38.89,0,0
2016/10/24,37,-15,-4,1030,1.79,0,0
2016/10/25,45,-15,-7,1030,3.13,0,0
2016/10/26,44,-15,-6,1031,3.13,0,0
2016/10/27,54,-15,-7,1032,4.92,0,0
2016/10/28,50,-15,-6,1032,3.13,0,0
2016/10/29,47,-15,-8,1033,0.45,0,0
2016/10/30,66,-15,-8,1033,0.9,0,0
2016/10/31,75,-15,-11,1033,0.89,0,0
2016/11/1,82,-17,-13,1033,1.78,0,0
2016/11/2,66,-17,-12,1033,4.91,0,0
2016/11/3,83,-17,-13,1033,8.04,0,0
2016/11/4,62,-19,-14,1032,9.83,0,0
2016/11/5,40,-18,-13,1032,12.96,0,0
2016/11/6,23,-19,-13,1032,16.09,0,0
2016/11/7,25,-19,-14,1033,19.22,0,0
2016/11/8,27,-19,-14,1034,22.35,0,0
2016/11/9,35,-17,-12,1033,24.14,0,0
2016/11/10,50,-16,-7,1033,4.02,0,0
2016/11/11,70,-15,-7,1033,3.13,0,0
2016/11/12,75,-15,-7,1032,6.26,0,0
2016/11/13,58,-14,-6,1031,9.39,0,0
2016/11/14,70,-14,-6,1031,12.52,0,0
2016/11/15,68,-13,-5,1030,14.31,0,0
2016/11/16,71,-14,-5,1031,16.1,0,0
2016/11/17,88,-14,-6,1031,19.23,0,0
2016/11/18,84,-13,-7,1032,23.25,0,0
2016/11/19,83,-15,-6,1032,27.27,0,0
2016/11/20,66,-15,-6,1033,30.4,0,0
2016/11/21,27,-15,-4,1034,35.32,0,0
2016/11/22,24,-16,-4,1034,44.26,0,0
2016/11/23,22,-17,-5,1035,52.31,0,0
2016/11/24,23,-17,-6,1035,60.36,0,0
2016/11/25,27,-17,-8,1035,0.89,0,0
2016/11/26,23,-19,-11,1036,4.02,0,0
2016/11/27,17,-20,-11,1036,8.94,0,0
2016/11/28,17,-21,-11,1035,4.02,0,0
2016/11/29,16,-22,-12,1035,3.13,0,0
2016/11/30,16,-22,-12,1035,4.92,0,0
2016/12/1,20,-22,-13,1036,5.81,0,0
2016/12/2,20,-22,-9,1036,13.86,0,0
2016/12/3,18,-22,-10,1036,21.91,0,0
2016/12/4,25,-22,-9,1036,29.06,0,0
2016/12/5,26,-21,-9,1036,33.08,0,0
2016/12/6,27,-20,-6,1035,42.02,0,0
2016/12/7,28,-19,-5,1034,50.96,0,0
2016/12/8,15,-19,-5,1033,59.01,0,0
2016/12/9,24,-20,-5,1033,66.16,0,0
2016/12/10,13,-20,-5,1032,71.97,0,0
2016/12/11,13,-20,-5,1033,76.89,0,0
2016/12/12,13,-20,-7,1033,81.81,0,0
2016/12/13,17,-22,-7,1033,85.83,0,0
2016/12/14,20,-22,-8,1033,89.85,0,0
2016/12/15,27,-23,-10,1033,91.64,0,0
2016/12/16,20,-23,-13,1033,93.43,0,0
2016/12/17,15,-22,-12,1032,0.89,0,0
2016/12/18,21,-22,-15,1031,1.78,0,0
2016/12/19,21,-22,-14,1031,1.79,0,0
2016/12/20,37,-22,-14,1031,0.89,0,0
2016/12/21,26,-24,-18,1030,1.79,0,0
2016/12/22,15,-24,-13,1030,3.58,0,0
2016/12/23,9,-25,-14,1030,3.13,0,0
2016/12/24,11,-24,-14,1030,7.15,0,0
2016/12/25,11,-25,-12,1030,12.96,0,0
2016/12/26,16,-26,-14,1030,16.98,0,0
2016/12/27,13,-25,-12,1031,21,0,0
2016/12/28,15,-25,-11,1031,26.81,0,0
2016/12/29,21,-24,-11,1030,35.75,0,0
2016/12/30,24,-23,-11,1029,47.82,0,0
2016/12/31,22,-22,-11,1029,63.02,0,0
2017/1/1,22,-23,-11,1029,75.98,0,0
2017/1/2,22,-22,-11,1029,88.05,0,0
2017/1/3,19,-23,-11,1030,101.01,0,0
2017/1/4,23,-24,-11,1030,109.06,0,0
2017/1/5,25,-24,-11,1032,118,0,0
2017/1/6,25,-23,-11,1032,126.05,0,0
2017/1/7,31,-23,-12,1032,134.1,0,0
2017/1/8,25,-24,-12,1033,142.15,0,0
2017/1/9,22,-23,-12,1033,150.2,0,0
2017/1/10,22,-23,-12,1034,160.03,0,0
2017/1/11,15,-24,-12,1034,169.86,0,0
2017/1/12,16,-24,-12,1033,178.8,0,0
2017/1/13,11,-25,-12,1033,189.98,0,0
2017/1/14,11,-24,-13,1033,198.03,0,0
2017/1/15,12,-25,-12,1032,205.18,0,0
2017/1/16,11,-25,-12,1033,215.01,0,0
2017/1/17,12,-25,-12,1032,226.19,0,0
2017/1/18,27,-25,-12,1032,235.13,0,0
2017/1/19,28,-25,-12,1032,243.18,0,0
2017/1/20,34,-23,-11,1033,252.12,0,0
2017/1/21,33,-23,-10,1033,257.93,0,0
2017/1/22,36,-22,-9,1033,263.74,0,0
2017/1/23,26,-21,-8,1031,270.89,0,0
2017/1/24,49,-21,-6,1030,278.94,0,0
2017/1/25,52,-20,-5,1029,286.99,0,0
2017/1/26,47,-22,-5,1028,294.14,0,0
2017/1/27,47,-21,-5,1028,299.06,0,0
2017/1/28,39,-19,-7,1028,1.79,0,0
2017/1/29,59,-19,-8,1028,0.45,0,0
2017/1/30,76,-20,-9,1028,1.34,0,0
2017/1/31,96,-19,-10,1027,1.79,0,0
2017/2/1,95,-19,-13,1027,0.89,0,0
2017/2/2,68,-18,-12,1027,1.78,0,0
2017/2/3,65,-18,-13,1027,0.89,0,0
2017/2/4,75,-18,-14,1026,1.78,0,0
2017/2/5,257,-20,-15,1025,2.67,0,0
2017/2/6,174,-20,-15,1025,0.89,0,0
2017/2/7,164,-20,-16,1025,1.78,0,0
2017/2/8,161,-20,-16,1024,3.57,0,0
2017/2/9,137,-21,-17,1024,6.7,0,0
2017/2/10,92,-19,-14,1023,10.72,0,0
2017/2/11,64,-21,-17,1023,13.85,0,0
2017/2/12,87,-19,-15,1024,15.64,0,0
2017/2/13,87,-19,-14,1024,18.77,0,0
2017/2/14,84,-18,-10,1024,22.79,0,0
2017/2/15,95,-17,-9,1023,24.58,0,0
2017/2/16,79,-16,-6,1023,26.37,0,0
2017/2/17,75,-17,-5,1022,28.16,0,0
2017/2/18,79,-16,-5,1022,29.95,0,0
2017/2/19,86,-15,-4,1022,33.08,0,0
2017/2/20,72,-16,-4,1023,0.89,0,0
2017/2/21,89,-15,-5,1025,1.79,0,0
2017/2/22,94,-14,-3,1026,5.81,0,0
2017/2/23,69,-16,-3,1027,11.62,0,0
2017/2/24,49,-15,-4,1029,20.56,0,0
2017/2/25,33,-16,-5,1031,24.58,0,0
2017/2/26,27,-17,-6,1032,3.13,0,0
2017/2/27,20,-18,-6,1033,8.05,0,0
2017/2/28,36,-19,-7,1034,13.86,0,0
2017/3/1,37,-17,-8,1035,5.81,0,0
2017/3/2,30,-18,-10,1035,11.62,0,0
2017/3/3,18,-19,-10,1036,14.75,0,0
2017/3/4,21,-19,-9,1036,19.67,0,0
2017/3/5,13,-19,-9,1036,7.15,0,0
2017/3/6,23,-20,-9,1037,12.96,0,0
2017/3/7,26,-19,-9,1037,18.77,0,0
2017/3/8,27,-19,-8,1038,22.79,0,0
2017/3/9,30,-19,-8,1039,28.6,0,0
2017/3/10,28,-19,-7,1039,35.75,0,0
2017/3/11,26,-18,-6,1039,41.56,0,0
2017/3/12,26,-18,-5,1039,45.58,0,0
2017/3/13,31,-17,-4,1038,1.79,0,0
2017/3/14,35,-16,-3,1037,0.89,0,0
2017/3/15,36,-17,-3,1037,1.78,0,0
2017/3/16,37,-17,-2,1037,2.23,0,0
2017/3/17,64,-15,-5,1036,0.89,0,0
2017/3/18,83,-15,-6,1036,0.89,0,0
2017/3/19,91,-15,-6,1037,1.78,0,0
2017/3/20,90,-14,-6,1037,1.79,0,0
2017/3/21,102,-14,-8,1036,3.58,0,0
2017/3/22,94,-14,-10,1037,0.89,0,0
2017/3/23,87,-15,-11,1036,1.78,0,0
2017/3/24,141,-15,-11,1036,2.67,0,0
2017/3/25,211,-16,-13,1036,0.89,0,0
2017/3/26,242,-16,-12,1036,0.89,0,0
2017/3/27,271,-16,-13,1035,0.89,0,0
2017/3/28,249,-15,-12,1035,1.78,0,0
2017/3/29,200,-14,-10,1034,1.79,0,0
2017/3/30,147,-15,-10,1034,2.68,0,0
2017/3/31,114,-15,-11,1034,4.47,0,0
2017/4/1,102,-15,-11,1034,6.26,0,0
2017/4/2,108,-14,-9,1034,8.05,0,0
2017/4/3,135,-14,-9,1034,9.84,0,0
2017/4/4,120,-13,-6,1034,0.89,0,0
2017/4/5,148,-13,-5,1033,1.79,0,0
2017/4/6,127,-12,-4,1031,0.89,0,0
2017/4/7,128,-12,-3,1031,1.78,0,0
2017/4/8,140,-12,-3,1030,2.67,0,0
2017/4/9,148,-11,-3,1030,3.56,0,0
2017/4/10,150,-11,-4,1031,0.89,0,0
2017/4/11,154,-12,-7,1031,0.89,0,0
2017/4/12,197,-12,-7,1032,1.78,0,0
2017/4/13,235,-12,-8,1032,2.23,0,0
2017/4/14,261,-12,-9,1032,3.12,0,0
2017/4/15,269,-13,-11,1032,0.89,0,0
2017/4/16,266,-14,-11,1032,2.68,0,0
2017/4/17,263,-15,-12,1032,5.81,0,0
2017/4/18,241,-14,-11,1032,0.45,0,0
2017/4/19,205,-14,-11,1031,1.34,0,0
2017/4/20,160,-14,-12,1031,1.79,0,0
2017/4/21,150,-14,-12,1031,3.58,0,0
2017/4/22,148,-14,-10,1030,6.71,0,0
2017/4/23,208,-14,-11,1030,9.84,0,0
2017/4/24,209,-15,-10,1030,11.63,0,0
2017/4/25,183,-13,-10,1030,14.76,0,0
2017/4/26,161,-13,-8,1030,17.89,0,0
2017/4/27,182,-12,-6,1030,0.45,0,0
2017/4/28,230,-11,-5,1030,1.34,0,0
2017/4/29,170,-11,-4,1029,2.23,0,0
2017/4/30,172,-11,-3,1028,3.12,0,0
2017/5/1,154,-10,-1,1027,4.01,0,0
2017/5/2,166,-11,-1,1027,4.46,0,0
2017/5/3,177,-10,-1,1026,0.89,0,0
2017/5/4,191,-10,-3,1026,1.78,0,0
2017/5/5,212,-10,-5,1027,2.67,0,0
2017/5/6,250,-10,-6,1027,0.89,0,0
2017/5/7,268,-11,-7,1027,0.45,0,0
2017/5/8,317,-10,-7,1027,0.9,0,0
2017/5/9,291,-11,-9,1027,1.35,0,0
2017/5/10,313,-12,-9,1027,0.89,0,0
2017/5/11,282,-12,-10,1028,0.89,0,0
2017/5/12,282,-13,-11,1028,3.13,0,0
2017/5/13,303,-11,-9,1028,4.92,0,0
2017/5/14,349,-13,-10,1028,6.71,0,0
2017/5/15,407,-13,-11,1028,7.6,0,0
2017/5/16,361,-13,-11,1027,1.79,0,0
2017/5/17,234,-14,-11,1028,0.89,0,0
2017/5/18,149,-14,-11,1028,4.02,0,0
2017/5/19,147,-14,-11,1028,5.81,0,0
2017/5/20,184,-11,-6,1028,9.83,0,0
2017/5/21,161,-10,-5,1028,11.62,0,0
2017/5/22,137,-9,-3,1028,13.41,0,0
2017/5/23,146,-8,-1,1027,15.2,0,0
2017/5/24,144,-9,0,1026,16.99,0,0
2017/5/25,154,-9,1,1025,1.79,0,0
2017/5/26,173,-9,1,1025,0.89,0,0
2017/5/27,188,-8,1,1025,0.89,0,0
2017/5/28,203,-7,-1,1025,2.68,0,0
2017/5/29,233,-7,-2,1025,0.89,0,0
2017/5/30,408,-7,-3,1025,0.89,0,0
2017/5/31,435,-5,-2,1026,0.89,0,0
2017/6/1,403,-5,-1,1026,1.79,0,0
2017/6/2,360,-5,-1,1026,3.58,0,0
2017/6/3,402,-6,-1,1026,0.89,0,0
2017/6/4,358,-4,-1,1025,1.79,0,0
2017/6/5,383,-5,-1,1024,4.92,0,0
2017/6/6,332,-5,-1,1024,6.71,0,0
2017/6/7,274,-5,-1,1023,8.5,0,0
2017/6/8,256,-4,-1,1022,10.29,0,0
2017/6/9,302,-4,-1,1021,11.18,0,0
2017/6/10,330,-4,-1,1021,12.07,0,0
2017/6/11,367,-4,-1,1021,13.86,0,0
2017/6/12,297,-4,0,1021,0.89,0,0
2017/6/13,331,-4,0,1021,1.79,0,0
2017/6/14,323,-4,0,1021,0.89,0,0
2017/6/15,339,-5,1,1021,1.79,0,0
2017/6/16,301,-5,1,1020,0.89,0,0
2017/6/17,310,-4,1,1019,1.34,0,0
2017/6/18,305,-4,1,1018,0.89,0,0
2017/6/19,313,-3,2,1018,0.45,0,0
2017/6/20,336,-3,2,1018,1.34,0,0
2017/6/21,357,-2,2,1018,0.89,0,0
2017/6/22,485,-3,1,1018,0.89,0,0
2017/6/23,426,-3,2,1020,1.79,0,0
2017/6/24,403,-3,1,1020,4.92,0,0
2017/6/25,374,-3,0,1021,6.71,0,0
2017/6/26,333,-3,0,1021,8.5,0,0
2017/6/27,343,-3,1,1020,11.63,0,0
2017/6/28,364,-2,0,1021,14.76,0,0
2017/6/29,389,-2,-1,1022,16.55,0,0
2017/6/30,368,-4,-2,1022,19.68,0,0
2017/7/1,267,-2,-1,1023,25.49,0,0
2017/7/2,71,-3,1,1023,28.62,0,0
2017/7/3,81,-3,0,1024,31.75,0,0
2017/7/4,51,-5,2,1026,36.67,0,0
2017/7/5,49,-9,1,1027,41.59,0,0
2017/7/6,44,-10,0,1028,48.74,0,0
2017/7/7,45,-10,0,1030,55.89,0,0
2017/7/8,35,-11,1,1032,63.04,0,0
2017/7/9,29,-13,0,1033,71.09,0,0
2017/7/10,27,-13,0,1033,78.24,0,0
2017/7/11,29,-13,-1,1033,8.05,0,0
2017/7/12,16,-13,-1,1032,7.15,0,0
2017/7/13,23,-15,-1,1032,5.81,0,0
2017/7/14,28,-14,-1,1033,5.81,0,0
2017/7/15,22,-15,-2,1033,12.96,0,0
2017/7/16,11,-16,-3,1034,21.01,0,0
2017/7/17,25,-17,-4,1035,28.16,0,0
2017/7/18,16,-19,-3,1036,37.99,0,0
2017/7/19,20,-18,-4,1037,46.93,0,0
2017/7/20,20,-19,-4,1038,55.87,0,0
2017/7/21,18,-19,-5,1038,65.7,0,0
2017/7/22,18,-20,-6,1038,75.53,0,0
2017/7/23,17,-20,-6,1038,85.36,0,0
2017/7/24,17,-20,-7,1038,95.19,0,0
2017/7/25,17,-22,-8,1038,103.24,0,0
2017/7/26,15,-23,-8,1038,111.29,0,0
2017/7/27,19,-24,-9,1038,118.44,0,0
2017/7/28,16,-24,-9,1038,128.27,0,0
2017/7/29,18,-25,-9,1038,138.1,0,0
2017/7/30,18,-25,-8,1039,147.04,0,0
2017/7/31,18,-25,-8,1039,155.98,0,0
2017/8/1,26,-22,-7,1039,160.9,0,0
2017/8/2,26,-22,-7,1038,3.13,0,0
2017/8/3,25,-22,-5,1037,4.02,0,0
2017/8/4,24,-21,-5,1035,3.13,0,0
2017/8/5,15,-21,-4,1034,1.79,0,0
2017/8/6,17,-20,-3,1034,1.79,0,0
2017/8/7,15,-21,-2,1033,4.92,0,0
2017/8/8,21,-20,-2,1033,10.73,0,0
2017/8/9,40,-20,-2,1034,15.65,0,0
2017/8/10,51,-19,-3,1034,21.46,0,0
2017/8/11,45,-19,-3,1035,25.48,0,0
2017/8/12,61,-17,-8,1035,0.89,0,0
2017/8/13,72,-18,-9,1035,1.79,0,0
2017/8/14,38,-18,-9,1035,3.58,0,0
2017/8/15,35,-18,-6,1036,7.6,0,0
2017/8/16,29,-20,-4,1037,17.43,0,0
2017/8/17,26,-21,-5,1037,27.26,0,0
2017/8/18,18,-21,-6,1037,35.31,0,0
2017/8/19,15,-20,-7,1036,42.46,0,0
2017/8/20,15,-20,-7,1035,48.27,0,0
2017/8/21,22,-20,-7,1035,54.08,0,0
2017/8/22,21,-20,-7,1036,59,0,0
2017/8/23,19,-19,-7,1036,63.92,0,0
2017/8/24,22,-20,-5,1036,67.94,0,0
2017/8/25,25,-19,-4,1036,75.09,0,0
2017/8/26,22,-19,-4,1036,84.03,0,0
2017/8/27,26,-19,-3,1035,95.21,0,0
2017/8/28,32,-18,-3,1034,105.04,0,0
2017/8/29,30,-19,-2,1033,114.87,0,0
2017/8/30,32,-18,-2,1032,124.7,0,0
2017/8/31,30,-18,-2,1032,133.64,0,0
2017/9/1,32,-18,-2,1032,139.45,0,0
2017/9/2,37,-18,-3,1032,144.37,0,0
2017/9/3,49,-17,-5,1033,149.29,0,0
2017/9/4,47,-18,-4,1033,153.31,0,0
2017/9/5,39,-17,-4,1032,159.12,0,0
2017/9/6,35,-17,-4,1032,164.04,0,0
2017/9/7,48,-17,-7,1032,168.06,0,0
2017/9/8,49,-17,-4,1033,172.08,0,0
2017/9/9,24,-17,-8,1033,0.89,0,0
2017/9/10,23,-17,-5,1032,4.92,0,0
2017/9/11,20,-18,-6,1032,8.05,0,0
2017/9/12,19,-18,-5,1031,12.97,0,0
2017/9/13,16,-18,-6,1031,16.1,0,0
2017/9/14,22,-18,-7,1031,20.12,0,0
2017/9/15,24,-18,-7,1031,24.14,0,0
